Date,ARIMA_Forecast,GARCH_Forecast
2022-11-14,93.49725471781848,8.669870108299435
2022-11-15,93.52903734624432,8.704977941835903
2022-11-16,93.51814584377762,8.779329528881444
2022-11-17,93.52187822312627,8.961394655666192
2022-11-18,93.52059918420167,8.863216776035415
2022-11-19,93.52103749457096,8.75195018798054
2022-11-20,93.52088729118299,8.652551707687742
2022-11-21,93.52093876397336,8.751378873827896
2022-11-22,93.52092112490287,8.581763511308958
2022-11-23,93.52092716958795,8.5127362732437
2022-11-24,93.52092509815127,8.419423863368646
2022-11-25,93.52092580800627,8.530338520617484
2022-11-26,93.52092556474798,8.540882457216506
2022-11-27,93.5209256481095,8.558426819147005
2022-11-28,93.52092561954257,8.543809019318225
2022-11-29,93.5209256293321,8.554920825022045
2022-11-30,93.52092562597736,8.623030604559128
2022-12-01,93.52092562712699,8.694632996377695
2022-12-02,93.52092562673302,8.721618989948885
2022-12-03,93.52092562686802,8.644457913967766
2022-12-04,93.52092562682175,8.749093245700218
2022-12-05,93.52092562683761,8.803216602914377
2022-12-06,93.52092562683218,8.758803046486728
2022-12-07,93.52092562683404,8.99758789281047
2022-12-08,93.5209256268334,9.016461869759025
2022-12-09,93.52092562683362,8.84740721812907
2022-12-10,93.52092562683355,8.629985831648058
2022-12-11,93.52092562683357,8.699232268587744
2022-12-12,93.52092562683356,8.820239193364412
2022-12-13,93.52092562683356,8.661215236759775
